symbol,direction,exit_type,exit_price,qty,pnl,timestamp,reason
ADAUSDT,short,TRAILING,0.854,114.0,2.348400000000007,2025-07-18 01:00,
ADAUSDT,long,SL,0.8413,116.0,-1.9951999999999992,2025-07-18 04:21,
DOGEUSDT,long,TRAILING,0.24659,415.0,2.4817000000000053,2025-07-18 05:51,
DOGEUSDT,long,SL,0.24533,399.0,-2.086770000000005,2025-07-18 07:18,
BNBUSDT,long,SL,744.55,0.13,-2.0033000000000105,2025-07-18 07:26,
DOGEUSDT,short,TRAILING,0.23499,414.0,2.4881399999999947,2025-07-18 08:43,
DOGEUSDT,short,SL,0.24041,424.0,-2.0097600000000093,2025-07-18 10:36,
BNBUSDT,short,TRAILING,720.58,0.13,2.654599999999995,2025-07-18 13:33,
DOGEUSDT,short,SL,0.23224,439.0,-2.019399999999997,2025-07-18 13:51,
ADAUSDT,short,SL,0.7138,70.0,-0.034999999999996145,2025-08-02 15:34,
BNBUSDT,short,SL,753.02,0.07,0.027299999999999047,2025-08-02 15:34,
ADAUSDT,short,SL,0.7138,70.0,-0.056000000000001604,2025-08-02 15:34,
BNBUSDT,short,SL,753.04,0.07,0.011900000000005094,2025-08-02 15:35,
ADAUSDT,short,SL,0.7137,70.0,-0.042000000000003146,2025-08-02 15:35,
BNBUSDT,short,SL,752.9,0.07,0.026599999999999683,2025-08-02 15:35,
ADAUSDT,short,SL,0.7123,70.0,-0.02100000000000546,2025-08-02 15:35,
BNBUSDT,short,SL,752.25,0.07,0.024500000000001593,2025-08-02 15:35,
ADAUSDT,short,SL,0.7126,70.0,-0.042000000000003146,2025-08-02 15:36,
ADAUSDT,short,SL,0.714,70.0,-0.034999999999996145,2025-08-02 15:36,
ADAUSDT,short,SL,0.7136,70.0,-0.028000000000004688,2025-08-02 15:36,
BNBUSDT,short,SL,753.09,0.07,0.02099999999999682,2025-08-02 15:36,
ADAUSDT,short,SL,0.7129,70.0,-0.027999999999996916,2025-08-02 15:37,
BNBUSDT,short,SL,752.66,0.07,0.025900000000000322,2025-08-02 15:37,
ADAUSDT,short,SL,0.7133,70.0,-0.03500000000000392,2025-08-02 15:37,
BNBUSDT,short,SL,752.75,0.07,0.02099999999999682,2025-08-02 15:37,
ADAUSDT,short,SL,0.7154,70.0,-0.2869999999999995,2025-08-02 17:23,
BNBUSDT,short,SL,756.21,0.07,-0.06580000000000383,2025-08-02 17:23,
ADAUSDT,short,SL,0.7154,70.0,-0.2869999999999995,2025-08-02 17:23,
BNBUSDT,short,SL,756.21,0.07,-0.06580000000000383,2025-08-02 17:23,
ADAUSDT,short,SL,0.7154,70.0,-0.2869999999999995,2025-08-02 17:24,
BNBUSDT,short,SL,756.27,0.07,-0.07,2025-08-02 17:24,
BNBUSDT,short,SL,756.27,0.07,-0.07,2025-08-02 17:24,
BNBUSDT,short,SL,756.27,0.07,-0.07,2025-08-02 17:24,
BNBUSDT,short,SL,756.2,0.07,-0.06510000000000446,2025-08-02 17:24,
ADAUSDT,short,SL,0.7251,27.0,-0.016199999999998216,2025-08-03 17:18,
BNBUSDT,short,SL,750.26,0.02,0.004800000000000182,2025-08-03 17:18,
DOGEUSDT,short,SL,0.19828,100.0,-0.010999999999999899,2025-08-03 17:18,
ETHUSDT,short,SL,3496.54,0.01,-0.02050000000000182,2025-08-03 17:18,
HBARUSDT,short,SL,0.24501,81.0,-0.012959999999999472,2025-08-03 17:18,
QNTUSDT,short,SL,109.53,0.1,-0.010999999999999944,2025-08-03 17:18,
ADAUSDT,short,SL,0.7242,27.0,-0.016199999999998216,2025-08-03 17:33,
BNBUSDT,short,SL,748.23,0.02,0.006800000000000637,2025-08-03 17:34,
DOGEUSDT,short,SL,0.19807,100.0,-0.014999999999998348,2025-08-03 17:34,
ETHUSDT,short,SL,3482.69,0.01,-0.014200000000000728,2025-08-03 17:34,
HBARUSDT,short,SL,0.24501,81.0,-0.015389999999999654,2025-08-03 17:34,
ADAUSDT,short,SL,0.7238,27.0,-0.016200000000001213,2025-08-03 17:58,
BNBUSDT,short,SL,747.7,0.02,0.005799999999999273,2025-08-03 17:58,
DOGEUSDT,short,SL,0.19809,101.0,-0.0343399999999979,2025-08-03 18:00,
XRPUSDT,short,SL,2.988,2.0,-0.0027999999999996916,2025-08-04 17:39,
HBARUSDT,short,SL,0.2522,40.0,-0.20039999999999947,2025-08-04 19:17,
XRPUSDT,short,SL,3.0504,3.0,-0.1793999999999989,2025-08-04 19:17,
ETHUSDT,short,SL,3631.57,0.01,-0.7126999999999998,2025-08-04 19:32,
ADAUSDT,long,SL,0.8658,23.0,-0.09659999999999958,2025-08-28 18:01,
ADAUSDT,short,SL,0.8721,23.0,-0.11729999999999985,2025-08-28 19:35,
BTCUSDT,long,SL,112544.65,0.001,-0.5593500000000058,2025-08-28 20:02,
XRPUSDT,short,SL,2.8058,5.9,-0.0005900000000012451,2025-09-02 17:03,
DOGEUSDT,short,TRAILING,0.2125,78.0,0.021840000000000193,2025-09-02 17:11,
BNBUSDT,short,SL,847.79,0.02,0.0,2025-09-02 21:31,
DOGEUSDT,short,SL,0.2115,310.0,-0.05270000000000108,2025-09-02 23:35,
HBARUSDT,short,SL,0.21392,304.0,-0.06687999999999938,2025-09-02 23:37,
HBARUSDT,short,SL,0.2141,302.0,-0.05436000000000407,2025-09-02 23:37,
HBARUSDT,short,SL,0.214,300.0,-0.06599999999999939,2025-09-02 23:40,
BNBUSDT,short,SL,849.37,0.1,-0.008000000000004092,2025-09-03 00:20,
DOGEUSDT,long,SL,0.21192,300.0,-0.0030000000000030003,2025-09-03 00:26,
BNBUSDT,long,SL,849.67,0.1,-0.08899999999999864,2025-09-03 00:33,
DOGEUSDT,short,SL,0.21111,298.0,-0.0655599999999994,2025-09-03 00:46,
DOGEUSDT,short,SL,0.2108,296.0,-0.0651199999999994,2025-09-03 00:53,
HBARUSDT,short,SL,0.21327,289.0,0.0,2025-09-03 01:05,
XRPUSDT,long,TRAILING,2.8186,22.0,0.08579999999999544,2025-09-03 01:30,
BNBUSDT,long,SL,850.45,0.1,-0.11399999999999864,2025-09-03 01:43,
BNBUSDT,long,SL,852.5,0.1,-0.08600000000000137,2025-09-03 04:31,
BNBUSDT,long,SL,852.3,0.1,-0.08900000000001002,2025-09-03 04:46,
HBARUSDT,long,SL,0.2204,274.0,-0.00821999999999301,2025-09-03 05:30,
HBARUSDT,long,TRAILING,0.22048,268.0,0.08040000000000602,2025-09-03 07:35,
ADAUSDT,long,SL,0.8343,70.0,-0.05599999999999383,2025-09-03 10:14,
HBARUSDT,long,TRAILING,0.2192,262.0,0.07598000000000327,2025-09-03 12:04,
HBARUSDT,short,SL,0.2186,262.0,-0.0681199999999954,2025-09-03 12:15,
XRPUSDT,short,SL,2.8178,20.2,-0.05857999999999803,2025-09-03 12:29,
BNBUSDT,long,SL,851.59,0.1,-0.09099999999999682,2025-09-03 12:55,
HBARUSDT,long,SL,0.21848,231.0,-0.05081999999999953,2025-09-03 13:17,
BNBUSDT,long,SL,853.01,0.1,-0.09099999999999682,2025-09-03 14:52,
BNBUSDT,long,SL,853.01,0.1,-0.09099999999999682,2025-09-03 15:02,
